Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Z.score	Combined.Score	Genes	log10P	class	regions
cleavage involved in rRNA processing (GO:0000469)	8/184	0.000130407907282813	0.0261715542230128	0.000513302926160973	0.0926643747682258	-3.38519644714482	30.2800516634172	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
maturation of 5.8S rRNA (GO:0000460)	8/187	0.000145785610006582	0.0261715542230128	0.000568719771136165	0.0926643747682258	-3.4225836258469	30.2329592969417	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
maturation of 5S rRNA (GO:0000481)	8/182	0.000120920381937947	0.0261715542230128	0.000478855433048844	0.0926643747682258	-3.34869852344172	30.2065272578708	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
rRNA modification (GO:0000154)	8/187	0.000145785610006582	0.0261715542230128	0.000568719771136165	0.0926643747682258	-3.41317870872026	30.1498821517892	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
maturation of SSU-rRNA (GO:0030490)	8/186	0.000140501935807645	0.0261715542230128	0.000549734104954365	0.0926643747682258	-3.38050879094236	29.9860909274247	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
rRNA processing (GO:0006364)	8/188	0.000151232095028645	0.0261715542230128	0.000588233055291008	0.0926643747682258	-3.36259849057164	29.5797528180274	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
SRP-dependent cotranslational protein targeting to membrane, docking (GO:0006615)	6/88	8.06366388999003e-05	0.0261715542230128	0.000279499136732342	0.0926643747682258	-2.6850252568889	25.307859772745	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.58217048559721	Biological_Process	GOterm_Results
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	6/92	0.00010331548807617	0.0261715542230128	0.000350273688205955	0.0926643747682258	-2.74832224457647	25.2233409903106	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.58217048559721	Biological_Process	GOterm_Results
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	7/143	0.000167047531211456	0.0273870031433519	0.000591266788817225	0.0926643747682258	-3.01201055921073	26.196155125956	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56245548835622	Biological_Process	GOterm_Results
signal peptide processing (GO:0006465)	9/250	0.000207345712209989	0.0274156000291861	0.000856191066504447	0.0926643747682258	-4.07676448616306	34.5755412549864	SPCS2;VCAN;ITIH2;LONP2;MIA3;LAMB1;PCSK5;KTN1;CLN5	1.56200224452743	Biological_Process	GOterm_Results
cytosolic large ribosomal subunit (GO:0022625)	6/68	1.86065670039347e-05	0.00645647875036535	0.000161594317756534	0.0560732282615173	-2.05413479540894	22.3736279233527	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	2.19000427399028	Cellular_Component	GOterm_Results
transcription factor TFIIE complex (GO:0005673)	4/43	0.000400203152562723	0.0288101446950353	0.00177175522916335	0.105018631552515	-2.50146217204164	19.5702850048521	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911	Cellular_Component	GOterm_Results
transcription factor TFIIF complex (GO:0005674)	4/45	0.000477138400816076	0.0288101446950353	0.00206939790511634	0.105018631552515	-2.42648166834931	18.5570134655997	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911	Cellular_Component	GOterm_Results
transcription factor TFIIA complex (GO:0005672)	4/47	0.000564062844421714	0.0288101446950353	0.00239994343084452	0.105018631552515	-2.42875870408141	18.1679527523603	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911	Cellular_Component	GOterm_Results
endoplasmic reticulum lumen (GO:0005788)	8/264	0.00142627244818875	0.0288101446950353	0.0105361020992753	0.10753021848378	-2.75402207914206	18.0462554648732	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911	Cellular_Component	GOterm_Results
smooth endoplasmic reticulum lumen (GO:0048238)	8/264	0.00142627244818875	0.0288101446950353	0.0105361020992753	0.10753021848378	-2.73736831675391	17.9371285073285	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911	Cellular_Component	GOterm_Results
core mediator complex (GO:0070847)	4/49	0.00066167917227274	0.0288101446950353	0.00276515697481884	0.105018631552515	-2.42708034320002	17.7679992826707	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911	Cellular_Component	GOterm_Results
cortical endoplasmic reticulum lumen (GO:0099021)	8/268	0.00156816424766355	0.0288101446950353	0.0114414303898896	0.113433609865477	-2.72284369245384	17.5837150849037	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911	Cellular_Component	GOterm_Results
perinuclear endoplasmic reticulum lumen (GO:0099020)	8/271	0.00168175528255295	0.0288101446950353	0.0121574139925434	0.114016828524664	-2.7333551776296	17.4604466074434	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911	Cellular_Component	GOterm_Results
sarcoplasmic reticulum lumen (GO:0033018)	8/286	0.00235115818995559	0.0288101446950353	0.0162435171731323	0.140912511476923	-2.7848130654699	16.856048036714	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911	Cellular_Component	GOterm_Results
rough endoplasmic reticulum lumen (GO:0048237)	8/281	0.00210820073360862	0.0288101446950353	0.0147844231780575	0.135005127441736	-2.69933671446859	16.6330980433787	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911	Cellular_Component	GOterm_Results
holo TFIIH complex (GO:0005675)	4/54	0.000957147658223392	0.0288101446950353	0.00384118767284487	0.105018631552515	-2.2829574199142	15.8700992401038	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911	Cellular_Component	GOterm_Results
transcription factor TFTC complex (GO:0033276)	4/57	0.00117325391398706	0.0288101446950353	0.00460694877387344	0.105018631552515	-2.20194318462718	14.8586559478635	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911	Cellular_Component	GOterm_Results
Beta-catenin-ICAT complex (GO:1990711)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.69667262421503	10.2481571299238	NONO;TCF12;HNRNPAB	1.54045456052911	Cellular_Component	GOterm_Results
C/EBP complex (GO:1990647)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.64212893819448	9.91870508548917	NONO;TCF12;HNRNPAB	1.54045456052911	Cellular_Component	GOterm_Results
core-binding factor complex (GO:0016513)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.61993922442134	9.78467588612	NONO;TCF12;HNRNPAB	1.54045456052911	Cellular_Component	GOterm_Results
insulin control element activator complex (GO:0030232)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.56411223743161	9.44747251135248	NONO;TCF12;HNRNPAB	1.54045456052911	Cellular_Component	GOterm_Results
ISGF3 complex (GO:0070721)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.5174789700501	9.16580058196151	NONO;TCF12;HNRNPAB	1.54045456052911	Cellular_Component	GOterm_Results
M/G1 phase-specific MADS box-forkhead transcription factor complex (GO:0097221)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.47836464933654	8.92954421819292	NONO;TCF12;HNRNPAB	1.54045456052911	Cellular_Component	GOterm_Results
ATF1-ATF4 transcription factor complex (GO:1990590)	3/35	0.00282289602199193	0.0288101446950353	0.00847412588896376	0.105018631552515	-1.49276125751937	8.76249658407721	NONO;TCF12;HNRNPAB	1.54045456052911	Cellular_Component	GOterm_Results
21U-RNA binding (GO:0034583)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.65646347171998	23.3178023577225	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
alpha-aminoacyl-tRNA binding (GO:1904678)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.65059590898323	23.2803840519537	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
base pairing with RNA (GO:0000498)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.64355902194596	23.2355087940938	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
7S RNA binding (GO:0008312)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.6451147430249	23.2096051367358	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
BRE binding (GO:0042835)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.64024937042101	23.1786257616158	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
GU repeat RNA binding (GO:1990605)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.63440677378812	23.1771435689729	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
histone pre-mRNA DCP binding (GO:0071208)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.63224542990413	23.1276621261665	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
misfolded RNA binding (GO:0034336)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.62606899478198	23.1239723327576	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
G-quadruplex RNA binding (GO:0002151)	20/1201	0.00173368835856686	0.0383644478484125	0.0191119479271692	0.128788314833532	-3.63681335485701	23.1210559627691	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
N6-methyladenosine-containing RNA binding (GO:1990247)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.62308300151964	23.1049302169888	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
AU-rich element binding (GO:0017091)	20/1203	0.00176797826684102	0.0383644478484125	0.0194237084897895	0.128788314833532	-3.64278099880049	23.0876494748095	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
pre-mRNA binding (GO:0036002)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.62241530545604	23.0650705966895	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
regulatory region RNA binding (GO:0001069)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.61554410773168	23.0568535886557	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
pre-miRNA binding (GO:0070883)	20/1201	0.00173368835856686	0.0383644478484125	0.0191119479271692	0.128788314833532	-3.62599747242015	23.0522939453906	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
snRNA binding (GO:0017069)	20/1202	0.00175076172799522	0.0383644478484125	0.0192673313978	0.128788314833532	-3.6291282013656	23.0366327348247	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
RNA stem-loop binding (GO:0035613)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.61773577480393	23.0352745363957	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
piRNA binding (GO:0034584)	20/1202	0.00175076172799522	0.0383644478484125	0.0192673313978	0.128788314833532	-3.6257266758388	23.0150408565687	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
ribonuclease P RNA binding (GO:0033204)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.60813975420874	23.0096349432706	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
RNA cap binding (GO:0000339)	20/1201	0.00173368835856686	0.0383644478484125	0.0191119479271692	0.128788314833532	-3.61652145101564	22.9920501000732	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
miRNA binding (GO:0035198)	20/1203	0.00176797826684102	0.0383644478484125	0.0194237084897895	0.128788314833532	-3.62555017258285	22.9784419007047	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028	Molecular_Function	GOterm_Results
Ribosome_Homo sapiens_hsa03010	7/137	0.00012800008087233	0.0199680126160835	0.00051145088350557	0.0797863378268689	-1.74613804904516	15.6514728900619	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A;MRPL22	1.69966515760395	KEGG_Pathway	GOterm_Results
