file_name	01.Raw_reads	02.reads_shorter_than_36nt	03.Clean_reads	05.Kept_reads	remove_rRNA	mapping_hg38	mapping_miRNA	mapping_piRNA	mapping_Y_RNA	mapping_snRNA	mapping_srpRNA	mapping_tRNA	mapping_other_lncRNA	mapping_mRNA	
	33183400	782728 (2.4%)	32400672 (97.6%)	32018183	382489	1.18%	29798846	91.97%	14194762	43.81%	253498	0.78%	10809484	33.36%	129220	0.40%	29208	0.09%	43822	0.14%	2090688	6.45%	108543	0.34%
	58184565	8506034 (14.6%)	49678531 (85.4%)	49052352	626179	1.26%	38751823	78.01%	27744042	55.85%	333922	0.67%	7334435	14.76%	23397	0.05%	8024	0.02%	40950	0.08%	2119661	4.27%	114561	0.23%
	48684820	7661055 (15.7%)	41023765 (84.3%)	39174286	1849479	4.51%	34325676	83.67%	12701768	30.96%	1219890	2.97%	16315604	39.77%	32894	0.08%	8012	0.02%	42433	0.10%	2534285	6.18%	289807	0.71%
	31583736	6060749 (19.2%)	25522987 (80.8%)	25323545	199442	0.78%	21085766	82.61%	15137936	59.31%	166218	0.65%	4025688	15.77%	25909	0.10%	8442	0.03%	32289	0.13%	1091513	4.28%	56204	0.22%
	63249347	19075952 (30.2%)	44173395 (69.8%)	43706088	467307	1.06%	23210164	52.54%	15846066	35.87%	493154	1.12%	5103353	11.55%	16128	0.04%	8974	0.02%	43019	0.10%	942899	2.13%	85987	0.19%
	41910211	2375714 (5.7%)	39534497 (94.3%)	39172441	362056	0.92%	36231172	91.64%	19389033	49.04%	504416	1.28%	13421505	33.95%	91171	0.23%	11695	0.03%	43234	0.11%	1902467	4.81%	94726	0.24%
	54643792	7559018 (13.8%)	47084774 (86.2%)	46148272	936502	1.99%	39232357	83.32%	20369281	43.26%	1308441	2.78%	14863005	31.57%	20720	0.04%	11072	0.02%	94371	0.20%	1504383	3.20%	115418	0.25%
	46267942	947672 (2.0%)	45320270 (98.0%)	45074987	245283	0.54%	43355707	95.67%	21022204	46.39%	267210	0.59%	17722473	39.10%	56313	0.12%	30056	0.07%	29460	0.07%	3066690	6.77%	78527	0.17%
	45420627	2860926 (6.3%)	42559701 (93.7%)	41915604	644097	1.51%	39728894	93.35%	13575393	31.90%	2507944	5.89%	18829378	44.24%	41702	0.10%	8463	0.02%	50446	0.12%	2870853	6.75%	354545	0.83%
	52916525	2495538 (4.7%)	50420987 (95.3%)	49023280	1397707	2.77%	46004296	91.24%	21835567	43.31%	1653949	3.28%	18480604	36.65%	46846	0.09%	16248	0.03%	85416	0.17%	2461030	4.88%	234451	0.46%
	47578206	1888597 (4.0%)	45689609 (96.0%)	44134857	1554752	3.40%	41818249	91.53%	16309878	35.70%	592389	1.30%	22675569	49.63%	19154	0.04%	11978	0.03%	46820	0.10%	1483549	3.25%	68381	0.15%
	52424580	3168201 (6.0%)	49256379 (94.0%)	48628611	627768	1.27%	46253199	93.90%	14125639	28.68%	2068223	4.20%	27743290	56.32%	13418	0.03%	18561	0.04%	71522	0.15%	1748768	3.55%	57192	0.12%
	50205092	877289 (1.7%)	49327803 (98.3%)	48155496	1172307	2.38%	46128043	93.51%	16370584	33.19%	1841351	3.73%	23975738	48.60%	24346	0.05%	14868	0.03%	51837	0.11%	2443442	4.95%	220894	0.45%
	46335863	1954447 (4.2%)	44381416 (95.8%)	41740519	2640897	5.95%	39182433	88.29%	14311191	32.25%	933744	2.10%	17436894	39.29%	107048	0.24%	28492	0.06%	78814	0.18%	3409167	7.68%	394094	0.89%
	71090111	9694947 (13.6%)	61395164 (86.4%)	60211468	1183696	1.93%	50435080	82.15%	37329490	60.80%	961581	1.57%	9400604	15.31%	18933	0.03%	11306	0.02%	106011	0.17%	1456234	2.37%	162090	0.26%
	48256702	3399969 (7.0%)	44856733 (93.0%)	44494305	362428	0.81%	37801840	84.27%	20396626	45.47%	208237	0.46%	12209114	27.22%	54759	0.12%	18534	0.04%	39281	0.09%	3175128	7.08%	106077	0.24%
	59259582	12165612 (20.5%)	47093970 (79.5%)	46133329	960641	2.04%	35233103	74.81%	23452836	49.80%	484386	1.03%	8139828	17.28%	29173	0.06%	18192	0.04%	87086	0.18%	1501973	3.19%	121328	0.26%
	71682610	23260028 (32.4%)	48422582 (67.6%)	47611087	811495	1.68%	31001042	64.02%	22063315	45.56%	361755	0.75%	5184997	10.71%	23044	0.05%	17224	0.04%	66801	0.14%	1482795	3.06%	117964	0.24%
	51854346	3374248 (6.5%)	48480098 (93.5%)	47869118	610980	1.26%	44426136	91.64%	14310888	29.52%	1508526	3.11%	26573060	54.81%	27358	0.06%	10143	0.02%	78739	0.16%	1224778	2.53%	74389	0.15%
	33071652	1984958 (6.0%)	31086694 (94.0%)	30270302	816392	2.63%	28147784	90.55%	8601707	27.67%	738836	2.38%	16960626	54.56%	18248	0.06%	10180	0.03%	47415	0.15%	997740	3.21%	73993	0.24%
	70064527	11012494 (15.7%)	59052033 (84.3%)	58149063	902970	1.53%	46410018	78.59%	33764609	57.18%	580990	0.98%	9831891	16.65%	14471	0.02%	10326	0.02%	71108	0.12%	1092358	1.85%	84059	0.14%
	46165491	2229600 (4.8%)	43935891 (95.2%)	43749460	186431	0.42%	41786220	95.11%	14053742	31.99%	415519	0.95%	26203650	59.64%	6748	0.02%	7840	0.02%	31028	0.07%	642176	1.46%	41356	0.09%
	45234639	1139370 (2.5%)	44095269 (97.5%)	43678156	417113	0.95%	42312251	95.96%	12691944	28.78%	716841	1.63%	27645799	62.70%	6586	0.01%	8042	0.02%	36561	0.08%	736442	1.67%	53891	0.12%
	49022478	3808818 (7.8%)	45213660 (92.2%)	44935322	278338	0.62%	41404445	91.58%	15629126	34.57%	579335	1.28%	23826566	52.70%	6613	0.01%	9177	0.02%	39865	0.09%	804255	1.78%	47251	0.10%
	61658475	8219158 (13.3%)	53439317 (86.7%)	53199297	240020	0.45%	46602020	87.21%	18239572	34.13%	557239	1.04%	26040056	48.73%	12418	0.02%	6592	0.01%	45879	0.09%	1133751	2.12%	62382	0.12%
	43540748	1290526 (3.0%)	42250222 (97.0%)	41698726	551496	1.31%	39689074	93.94%	13461120	31.86%	725205	1.72%	23793346	56.32%	11472	0.03%	11064	0.03%	46437	0.11%	1055084	2.50%	74136	0.18%
	58454997	1757211 (3.0%)	56697786 (97.0%)	56247164	450622	0.79%	52611803	92.79%	18078981	31.89%	723749	1.28%	32009816	56.46%	10859	0.02%	19553	0.03%	52063	0.09%	1054627	1.86%	77130	0.14%
	52098453	1861495 (3.6%)	50236958 (96.4%)	49291042	945916	1.88%	47218553	93.99%	17689202	35.21%	1201293	2.39%	26265969	52.28%	15769	0.03%	14107	0.03%	63434	0.13%	1234238	2.46%	90150	0.18%
	67754658	5748017 (8.5%)	62006641 (91.5%)	59957285	2049356	3.31%	48445433	78.13%	36345866	58.62%	337544	0.54%	8353524	13.47%	20168	0.03%	13070	0.02%	79290	0.13%	1817340	2.93%	117829	0.19%
